Birth Rate,Business Tax Rate,CO2 Emissions,Country,Days to Start Business,Ease of Business,Energy Usage,GDP,Health Exp % GDP,Health Exp/Capita,Hours to do Tax,Infant Mortality Rate,Internet Usage,Lending Interest,Life Expectancy Female,Life Expectancy Male,Mobile Phone Usage,Number of Records,Population 0-14,Population 15-64,Population 65+,Population Total,Population Urban,Tourism Inbound,Tourism Outbound
0.02,,87931,Algeria,,,26998,"$54,790,058,957",0.035,$60,,0.034,0,0.1,71,67,0,1,0.342,0.619,0.039,31719449,0.599,"$102,000,000","$193,000,000"
0.05,,9542,Angola,,,7499,"$9,129,594,819",0.034,$22,,0.128,0,1.032,47,44,0,1,0.476,0.499,0.025,13924930,0.324,"$34,000,000","$146,000,000"
0.043,,1617,Benin,,,1983,"$2,359,122,303",0.043,$15,,0.09,0,,57,53,0,1,0.454,0.517,0.029,6949366,0.383,"$77,000,000","$50,000,000"
0.027,,4276,Botswana,,,1836,"$5,788,311,645",0.047,$152,,0.054,0,0.155,52,49,0.1,1,0.383,0.587,0.029,1755375,0.532,"$227,000,000","$209,000,000"
0.046,,1041,Burkina Faso,,,,"$2,610,959,139",0.051,$12,,0.096,0,,52,49,0,1,0.468,0.505,0.028,11607944,0.178,"$23,000,000","$30,000,000"
0.042,,301,Burundi,,,,"$870,486,066",0.063,$7,,0.092,0,0.158,49,47,0,1,0.49,0.481,0.029,6674286,0.082,"$1,400,000","$14,000,000"
0.041,,3432,Cameroon,,,6310,"$9,287,367,569",0.044,$26,,0.093,0,0.22,53,51,0,1,0.453,0.513,0.034,15927713,0.455,"$132,000,000","$241,000,000"
0.039,,268,Central African Republic,,,,"$914,500,332",0.043,$11,,0.113,0,0.22,45,42,0,1,0.423,0.537,0.04,3638316,0.376,"$5,000,000","$33,000,000"
0.051,,176,Chad,,,,"$1,385,058,212",0.063,$10,,0.106,0,0.22,48,46,0,1,0.49,0.482,0.028,8301151,0.216,"$14,000,000","$56,000,000"
0.039,,84,Comoros,,,,"$201,899,884",0.035,$13,,0.073,0,0.12,59,56,,1,0.415,0.554,0.031,528312,0.281,"$15,000,000",
0.048,,1646,"Congo, Dem. Rep.",,,16679,"$19,088,046,305",0.048,$14,,0.115,0,,48,45,0,1,0.464,0.507,0.028,46949244,0.351,,
0.039,,1049,"Congo, Rep.",,,814,"$3,219,910,666",0.021,$22,,0.077,0,0.22,53,51,0,1,0.419,0.545,0.036,3126204,0.587,"$12,400,000","$59,000,000"
0.038,,6791,Cote d'Ivoire,,,6734,"$10,417,060,605",0.065,$42,,0.1,0,,47,46,0,1,0.421,0.55,0.029,16131332,0.435,"$53,000,000","$291,000,000"
0.03,,403,Djibouti,,,,"$551,230,862",0.058,$44,,0.08,0,,59,55,0,1,0.414,0.556,0.03,722887,0.765,"$8,100,000","$14,800,000"
0.025,,141326,"Egypt, Arab Rep.",,,40658,"$99,838,540,997",0.054,$79,,0.036,0,0.132,71,66,0,1,0.354,0.592,0.053,66136590,0.428,"$4,657,000,000","$1,206,000,000"
0.04,,455,Equatorial Guinea,,,,"$1,045,998,534",0.024,$57,,0.099,0,0.22,49,46,0,1,0.426,0.537,0.037,518179,0.388,"$5,000,000","$19,000,000"
